topic,incivil,stance3
capability_quality,False,trust
regulation_policy,False,trust
other3,False,non_evaluative
corporate_money,False,distrust
regulation_policy,False,distrust
corporate_money,True,distrust
regulation_policy,False,distrust
companionship_use,False,distrust
other1,False,distrust
other3,False,trust
privacy_data,False,distrust
regulation_policy,False,distrust
privacy_data,False,distrust
capability_quality,False,distrust
regulation_policy,False,distrust
other1,False,distrust
other1,False,distrust
other4,False,trust
regulation_policy,False,distrust
education_cheating,False,non_evaluative
corporate_money,False,distrust
privacy_data,False,non_evaluative
regulation_policy,False,distrust
regulation_policy,False,distrust
corporate_money,False,distrust
regulation_policy,False,distrust
companionship_use,False,trust
corporate_money,False,distrust
other2,False,distrust
regulation_policy,False,distrust
regulation_policy,False,distrust
other4,False,distrust
regulation_policy,False,distrust
privacy_data,False,non_evaluative
corporate_money,False,distrust
other3,False,non_evaluative
regulation_policy,False,distrust
regulation_policy,False,distrust
corporate_money,False,non_evaluative
other3,False,distrust
privacy_data,False,distrust
other4,False,distrust
privacy_data,False,trust
corporate_money,False,trust
other1,False,distrust
other3,False,distrust
capability_quality,False,trust
privacy_data,True,distrust
regulation_policy,False,non_evaluative
other3,False,distrust
regulation_policy,False,distrust
capability_quality,False,non_evaluative
privacy_data,False,distrust
other3,False,non_evaluative
regulation_policy,False,distrust
capability_quality,False,distrust
regulation_policy,False,distrust
regulation_policy,False,distrust
safety_alignment,False,distrust
other3,False,non_evaluative
accuracy_hallucination,False,distrust
privacy_data,False,non_evaluative
privacy_data,False,distrust
corporate_money,False,non_evaluative
regulation_policy,True,distrust
regulation_policy,False,distrust
labour_displacement,False,distrust
capability_quality,False,non_evaluative
art_copyright,False,distrust
capability_quality,False,distrust
regulation_policy,False,distrust
regulation_policy,False,distrust
corporate_money,False,distrust
regulation_policy,False,distrust
regulation_policy,False,distrust
privacy_data,False,distrust
corporate_money,False,non_evaluative
corporate_money,False,distrust
other3,False,distrust
other3,False,trust
corporate_money,False,non_evaluative
regulation_policy,False,distrust
capability_quality,False,distrust
regulation_policy,False,distrust
capability_quality,False,trust
regulation_policy,False,distrust
other1,False,distrust
corporate_money,False,trust
capability_quality,False,non_evaluative
corporate_money,False,distrust
regulation_policy,False,distrust
regulation_policy,False,distrust
regulation_policy,False,distrust
regulation_policy,False,distrust
regulation_policy,False,distrust
other4,False,distrust
capability_quality,False,distrust
regulation_policy,True,distrust
labour_displacement,False,distrust
capability_quality,False,trust
capability_quality,False,distrust
regulation_policy,False,distrust
companionship_use,False,distrust
privacy_data,False,distrust
regulation_policy,False,distrust
regulation_policy,False,trust
